symbol,currency,exchange,industry,sector,isActivelyTrading,ipoDate,delistedDate
PMT-PA,USD,NYSE,REIT - Mortgage,Real Estate,True,2017-03-06,
LSXMA,USD,NASDAQ,Broadcasting,Communication Services,False,2016-04-18,2024-09-09
MCW,USD,NASDAQ,Personal Products & Services,Consumer Cyclical,False,2021-06-25,2026-05-19
HOLX,USD,NASDAQ,Medical - Instruments & Supplies,Healthcare,False,1990-03-01,2026-04-08
HUMAW,USD,NASDAQ,Biotechnology,Healthcare,True,2020-12-01,
PLAN,USD,NYSE,Software - Infrastructure,Technology,False,2018-10-12,2022-06-22
MAAS,USD,NASDAQ,Asset Management,Financial Services,True,2019-03-29,
MEVO,USD,NASDAQ,Financial - Conglomerates,Financial Services,True,2024-12-12,
EVAX,USD,NASDAQ,Biotechnology,Healthcare,True,2021-02-05,
CYCU,USD,NASDAQ,Information Technology Services,Technology,True,2025-02-18,
LUNG,USD,NASDAQ,Medical - Devices,Healthcare,True,2020-10-01,
GRRR,USD,NASDAQ,Software - Infrastructure,Technology,True,2021-05-10,
UG,USD,NASDAQ,Household & Personal Products,Consumer Defensive,True,1980-03-17,
MFI,USD,NASDAQ,Software - Application,Technology,True,2024-04-22,
SYF,USD,NYSE,Financial - Credit Services,Financial Services,True,2014-07-31,
BF-B,USD,NYSE,Beverages - Wineries & Distilleries,Consumer Defensive,True,1980-03-17,
FUL,USD,NYSE,Chemicals - Specialty,Basic Materials,True,1968-04-25,
PAEWW,USD,NASDAQ,Specialty Business Services,Industrials,False,2020-02-11,2022-02-15
OWLT-WT,USD,NYSE,Medical - Devices,Healthcare,False,,
SR-PA,USD,NYSE,Regulated Gas,Utilities,True,2019-05-15,
ASAN,USD,NYSE,Software - Application,Technology,True,2020-09-30,
ALOHA,USD,NASDAQ,Specialty Retail,Consumer Cyclical,False,2022-02-11,
ECCX,USD,NYSE,Asset Management,Financial Services,False,2022-02-15,2026-05-07
GRVY,USD,NASDAQ,Electronic Gaming & Multimedia,Technology,True,2005-02-08,
SNT,USD,NASDAQ,Security & Protection Services,Industrials,True,1993-03-23,
SPFI,USD,NASDAQ,Banks - Regional,Financial Services,True,2019-05-09,
TCRX,USD,NASDAQ,Biotechnology,Healthcare,True,2021-07-16,
GDRX,USD,NASDAQ,Medical - Healthcare Information Services,Healthcare,True,2020-09-23,
SCCF,USD,AMEX,REIT - Industrial,Real Estate,True,2022-05-12,
BNS,USD,NYSE,Banks - Diversified,Financial Services,True,2002-06-07,
ZDGE,USD,AMEX,Internet Content & Information,Communication Services,True,2016-06-03,
BANR,USD,NASDAQ,Banks - Regional,Financial Services,True,1995-11-01,
AVBH,USD,NASDAQ,Banks - Regional,Financial Services,True,2025-08-05,
BAOS,USD,NASDAQ,Advertising Agencies,Communication Services,True,2021-02-08,
WETG,USD,NASDAQ,Software - Application,Technology,False,2022-07-19,2024-03-18
MGLD,USD,AMEX,Asset Management,Financial Services,True,2022-03-14,
ETOR,USD,NASDAQ,Financial - Capital Markets,Financial Services,True,2025-05-14,
OFG,USD,NYSE,Banks - Regional,Financial Services,True,1987-03-26,
EMX,USD,AMEX,Industrial Materials,Basic Materials,False,2007-08-28,2025-11-14
INBK,USD,NASDAQ,Banks - Regional,Financial Services,True,2006-04-05,
CLI,USD,NYSE,REIT - Office,Real Estate,False,1994-08-25,2021-12-10
CGBD,USD,NASDAQ,Asset Management,Financial Services,True,2017-06-14,
KALA,USD,NASDAQ,Biotechnology,Healthcare,True,2017-07-20,
DEI,USD,NYSE,REIT - Office,Real Estate,True,2006-10-25,
BDCI,USD,NASDAQ,Asset Management,Financial Services,True,2025-10-16,
SMC,USD,NYSE,Oil & Gas Midstream,Energy,True,2010-02-22,
LFCR,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,True,1996-02-15,
PSTV,USD,NASDAQ,Biotechnology,Healthcare,True,2001-07-11,
PMT-PC,USD,NYSE,REIT - Mortgage,Real Estate,True,2021-08-18,
FFBC,USD,NASDAQ,Banks - Regional,Financial Services,True,1983-12-21,
TYL,USD,NYSE,Software - Application,Technology,True,1980-03-17,
MJN,USD,NYSE,Packaged Foods,Consumer Defensive,False,2009-02-11,2017-06-26
BARK,USD,NYSE,Specialty Retail,Consumer Cyclical,True,2020-12-18,
COTY,USD,NYSE,Household & Personal Products,Consumer Defensive,True,2013-06-13,
CDEV,USD,NASDAQ,Oil & Gas Exploration & Production,Energy,False,2016-03-02,2022-09-02
ZBH,USD,NYSE,Medical - Devices,Healthcare,True,2001-07-25,
CRGOW,USD,NASDAQ,Integrated Freight & Logistics,Industrials,True,2023-01-26,
BVXV,USD,NASDAQ,Biotechnology,Healthcare,False,2015-05-12,2023-09-06
GS-PJ,USD,NYSE,Financial - Capital Markets,Financial Services,False,2013-04-22,2023-09-13
DHR-PB,USD,NYSE,Medical - Diagnostics & Research,Healthcare,False,2020-05-11,2023-04-14
LINX,USD,NYSE,Software - Application,Technology,False,2013-02-08,2021-07-01
WLFC,USD,NASDAQ,Rental & Leasing Services,Industrials,True,1996-09-18,
AAIC-PC,USD,NYSE,REIT - Mortgage,Real Estate,False,2019-03-06,2023-12-13
BAC-PE,USD,NYSE,Banks - Diversified,Financial Services,True,2006-11-14,
TGNA,USD,NYSE,Broadcasting,Communication Services,False,1980-03-17,2026-03-20
LUMN,USD,NYSE,Telecommunications Services,Communication Services,True,1980-03-17,
SACC,USD,AMEX,REIT - Industrial,Real Estate,False,2019-11-12,2024-12-27
NIVF,USD,NASDAQ,Medical - Care Facilities,Healthcare,True,2022-03-18,
PAYOW,USD,NASDAQ,Software - Infrastructure,Technology,False,,
SHCRW,USD,NASDAQ,Medical - Healthcare Information Services,Healthcare,False,2020-11-25,
ITRM,USD,NASDAQ,Biotechnology,Healthcare,False,2018-05-25,2026-04-01
SB-PC,USD,NYSE,Marine Shipping,Industrials,True,2014-05-02,
