symbol,asOfDate,exchange,industry,sector,adjClose,rawClose,price_tr20,dollarVolume_tr20,turnOver_tr20,marketCapitalization,numberOfShares
A,2026-06-12,NYSE,Medical - Diagnostics & Research,Healthcare,129.84,129.84,126.05799999999999,345274629.9335,0.009592656007067138,32700650000.0,283000000.0
AA,2026-06-12,NYSE,Aluminum,Basic Materials,68.77,68.77,71.6525,326314965.8875,0.017201084788071495,17487906025.0,263650023.0
AAL,2026-06-12,NASDAQ,"Airlines, Airports & Air Services",Industrials,14.98,14.98,13.778,1290538066.8945,0.14026495150344612,7101083940.0,661181000.0
AAMI,2026-06-12,NYSE,Asset Management,Financial Services,78.54,78.54,73.426,29441781.912,0.011231436974789916,1942794000.0,35700000.0
AAOI,2026-06-12,NASDAQ,Semiconductors,Technology,169.05,169.05,178.5935,2344797870.481,0.17322525862068966,6427148200.0,75980000.0
AAON,2026-06-12,NASDAQ,Construction,Industrials,127.19,127.19,135.3785,141683156.137,0.01277079158033521,6765358981.0,81756604.0
AAP,2026-06-12,NYSE,Specialty Retail,Consumer Cyclical,60.8,60.8,56.72850000000001,146691341.02899998,0.04304943677204659,3496618000.0,60100000.0
AAPL,2026-06-12,NASDAQ,Consumer Electronics,Technology,291.13,291.13,303.881,15330740096.113,0.003429008577283583,3660026638400.0,14710718000.0
AAT,2026-06-12,NYSE,REIT - Diversified,Real Estate,24.41,24.41,22.828,10534461.3715,0.007501283533428024,1117444270.0,60697679.0
AAUC,2026-06-12,NYSE,Gold,Basic Materials,25.26,25.26,26.402499999999996,16717226.1085,0.005043144857987891,3890656839.0,125343326.0
AB,2026-06-12,NYSE,Asset Management,Financial Services,36.44,36.44,37.3635,12565881.076499999,0.003637494730014594,3463387200.0,92505000.0
ABAT,2026-06-12,NASDAQ,Industrial Materials,Basic Materials,3.38,3.38,3.3905000000000003,35671399.45900001,0.07673504775982767,367877665.0,131855794.0
ABBV,2026-06-12,NYSE,Drug Manufacturers - General,Healthcare,227.73,227.73,218.225,1150581688.7879999,0.0029739248330198933,385797681360.0,1773864000.0
ABCB,2026-06-12,NYSE,Banks - Regional,Financial Services,88.95,88.95,84.885,34274946.525000006,0.005948897378582872,5286669368.0,67786503.0
ABCL,2026-06-12,NASDAQ,Biotechnology,Healthcare,5.24,5.24,5.323,40817004.420499995,0.02511544987413248,1057730371.0,303074605.0
ABEO,2026-06-12,NASDAQ,Biotechnology,Healthcare,5.53,5.53,5.526000000000001,5078813.381,0.016309696133513903,253661721.0,56620920.0
ABEV,2026-06-12,NYSE,Beverages - Alcoholic,Consumer Defensive,3.25,3.25,3.182,91289687.616,0.0018354848678449644,236024571161.0,15610037000.0
ABG,2026-06-12,NYSE,Auto - Dealerships,Consumer Cyclical,199.53,199.53,189.5795,44027710.2945,0.012271942105263157,3712790000.0,19000000.0
ABM,2026-06-12,NYSE,Specialty Business Services,Industrials,45.93,45.93,41.045,27545434.689,0.011197380305602717,2403120000.0,58900000.0
ABNB,2026-06-12,NASDAQ,Travel Services,Consumer Cyclical,132.28,132.28,133.2075,499887097.538,0.006267663628762542,75515440000.0,598000000.0
ABR,2026-06-12,NYSE,REIT - Mortgage,Real Estate,5.21,5.21,5.478,25718415.79,0.02385066269451991,1497242725.0,194194906.0
ABSI,2026-06-12,NASDAQ,Biotechnology,Healthcare,6.8,6.8,5.936999999999999,28357915.588,0.03018218511337209,458885682.0,152961894.0
ABT,2026-06-12,NYSE,Medical - Devices,Healthcare,88.18,88.18,88.0675,1061122782.7395,0.0068947988762186165,179360280530.0,1746959000.0
ABUS,2026-06-12,NASDAQ,Biotechnology,Healthcare,4.26,4.26,4.353,6825639.864,0.008020653094222816,871958884.0,193768641.0
ABVX,2026-06-12,NASDAQ,Biotechnology,Healthcare,96.55,96.55,111.225,293188222.3585,0.04181835585050278,7979707997.0,69527315.0
ABX,2026-06-12,NYSE,Insurance - Life,Financial Services,9.59,9.59,9.041500000000001,4362660.772499999,0.004977280549703862,762594005.0,96775889.0
