symbol,currency,exchange,industry,sector,isActivelyTrading,ipoDate,delistedDate
SNES,USD,NASDAQ,Chemicals - Specialty,Basic Materials,True,2016-12-08,
OSTX,USD,NYSE,Biotechnology,Healthcare,True,2024-08-01,
BGLC,USD,NASDAQ,Medical - Diagnostics & Research,Healthcare,True,2021-01-08,
NCPL,USD,NASDAQ,Financial - Capital Markets,Financial Services,True,2006-06-05,
CVCO,USD,NASDAQ,Residential Construction,Consumer Cyclical,True,2003-07-01,
EXC,USD,NASDAQ,Regulated Electric,Utilities,True,1973-05-02,
AIHS,USD,NASDAQ,Financial - Credit Services,Financial Services,True,2018-03-19,
UIS,USD,NYSE,Information Technology Services,Technology,True,1972-06-01,
KLTR,USD,NASDAQ,Software - Infrastructure,Technology,True,2021-07-21,
SKYAW,USD,NASDAQ,Asset Management,Financial Services,False,2025-07-03,
OPHC,USD,NASDAQ,Banks - Regional,Financial Services,True,2003-06-23,
TCBIO,USD,NASDAQ,Banks - Regional,Financial Services,True,2021-03-26,
ACMR,USD,NASDAQ,Semiconductors,Technology,True,2017-11-02,
EHLDV,USD,NASDAQ,Marine Shipping,Industrials,False,2025-03-07,
WNW,USD,NASDAQ,Specialty Retail,Consumer Cyclical,True,2020-12-15,
CAPS,USD,NASDAQ,Construction Materials,Basic Materials,True,1993-01-28,
LKCO,USD,NASDAQ,Internet Content & Information,Communication Services,False,2019-01-15,
RNAZ,USD,NASDAQ,Biotechnology,Healthcare,True,2021-07-08,
RARE,USD,NASDAQ,Biotechnology,Healthcare,True,2014-01-31,
VHI,USD,NYSE,Chemicals,Basic Materials,True,1980-03-17,
JAGX,USD,NASDAQ,Biotechnology,Healthcare,True,2015-05-12,
BNED,USD,NYSE,Specialty Retail,Consumer Cyclical,True,2015-07-23,
ARLO,USD,NYSE,Security & Protection Services,Industrials,True,2018-08-03,
TSLX,USD,NYSE,Asset Management,Financial Services,True,2014-03-21,
NCI,USD,NASDAQ,Apparel - Manufacturers,Consumer Cyclical,True,2012-06-17,
ZBH,USD,NYSE,Medical - Devices,Healthcare,True,2001-07-25,
INUV,USD,AMEX,Advertising Agencies,Communication Services,True,1998-08-04,
MMYT,USD,NASDAQ,Travel Services,Consumer Cyclical,True,2010-08-12,
CMLS,USD,NASDAQ,Broadcasting,Communication Services,True,2018-08-07,
ARX,USD,NYSE,Insurance - Brokers,Financial Services,True,2025-07-24,
CCNEP,USD,NASDAQ,Banks - Regional,Financial Services,True,2020-08-21,
UK,USD,NASDAQ,Real Estate - Services,Real Estate,True,2019-11-07,
ERO,USD,NYSE,Copper,Basic Materials,True,2017-10-20,
IT,USD,NYSE,Information Technology Services,Technology,True,1993-10-05,
HYMCW,USD,NASDAQ,Gold,Basic Materials,False,2020-06-01,
NINE,USD,NYSE,Oil & Gas Equipment & Services,Energy,True,2018-01-19,
OSUR,USD,NASDAQ,Medical - Instruments & Supplies,Healthcare,True,1986-11-17,
GRC,USD,NYSE,Industrial - Machinery,Industrials,True,1980-03-17,
ADTN,USD,NASDAQ,Communication Equipment,Technology,True,1994-08-10,
YPF,USD,NYSE,Oil & Gas Integrated,Energy,True,1993-06-29,
TRU,USD,NYSE,Consulting Services,Industrials,True,2015-06-25,
HMC,USD,NYSE,Auto - Manufacturers,Consumer Cyclical,True,1980-03-17,
ENIC,USD,NYSE,Regulated Electric,Utilities,True,2016-04-21,
TSQ,USD,NYSE,Advertising Agencies,Communication Services,True,2014-07-24,
SWI,USD,NYSE,Software - Infrastructure,Technology,False,2018-10-19,2025-04-16
RAIL,USD,NASDAQ,Railroads,Industrials,True,2005-04-06,
HCAI,USD,NASDAQ,Industrial - Machinery,Industrials,True,2025-02-05,
ARCC,USD,NASDAQ,Asset Management,Financial Services,True,2004-10-05,
ML,USD,NYSE,Software - Application,Technology,False,2020-08-14,2025-04-17
AEBIV,USD,NASDAQ,Industrial - Machinery,Industrials,False,2025-07-01,2025-07-02
KINS,USD,NASDAQ,Insurance - Property & Casualty,Financial Services,True,1999-10-26,
BULLZ,USD,NASDAQ,Information Technology Services,Technology,False,2025-04-11,2025-07-01
GXP,USD,NYSE,Renewable Utilities,Utilities,False,1972-06-01,2018-06-04
CCIX,USD,NASDAQ,,Financial Services,True,2007-03-01,
INVO,USD,NASDAQ,Medical - Devices,Healthcare,False,2020-11-02,
LGHL,USD,NASDAQ,Financial - Capital Markets,Financial Services,True,2019-06-21,
TRTX-PC,USD,NYSE,REIT - Mortgage,Real Estate,True,2021-06-08,
VINO,USD,NASDAQ,Real Estate - Diversified,Real Estate,False,2021-01-19,
UCTT,USD,NASDAQ,Semiconductors,Technology,True,2004-03-25,
APD,USD,NYSE,Chemicals - Specialty,Basic Materials,True,1980-03-17,
IHG,USD,NYSE,Travel Lodging,Consumer Cyclical,True,2003-04-10,
RGP,USD,NASDAQ,Consulting Services,Industrials,True,2000-12-15,
ENFN,USD,NYSE,Software - Application,Technology,False,2021-10-21,2025-04-21
SESN,USD,NASDAQ,Biotechnology,Healthcare,False,2014-02-06,2023-03-07
NMRK,USD,NASDAQ,Real Estate - Services,Real Estate,True,2017-12-15,
BBWI,USD,NYSE,Specialty Retail,Consumer Cyclical,True,1982-04-01,
CTRN,USD,NASDAQ,Apparel - Retail,Consumer Cyclical,True,2005-05-18,
GNS,USD,AMEX,Education & Training Services,Consumer Defensive,True,2022-04-12,
PRZO,USD,NASDAQ,Aerospace & Defense,Industrials,True,2023-07-27,
VYGR,USD,NASDAQ,Biotechnology,Healthcare,True,2015-11-11,
EVAX,USD,NASDAQ,Biotechnology,Healthcare,True,2021-02-05,
EFOI,USD,NASDAQ,"Furnishings, Fixtures & Appliances",Consumer Cyclical,True,1994-08-18,
ONB,USD,NASDAQ,Banks - Regional,Financial Services,True,1984-06-20,
RZB,USD,NYSE,Insurance - Reinsurance,Financial Services,True,2016-06-13,
CVGI,USD,NASDAQ,Auto - Parts,Consumer Cyclical,True,2004-08-09,
JNS,USD,NYSE,Renewable Utilities,Utilities,False,2000-06-26,2017-05-26
PGEN,USD,NASDAQ,Biotechnology,Healthcare,True,2013-08-08,
FNA,USD,NYSE,Medical - Devices,Healthcare,False,2021-10-15,2025-04-21
PRCH,USD,NASDAQ,Software - Application,Technology,True,2020-01-13,
BOCH,USD,NASDAQ,Banks - Regional,Financial Services,False,1998-09-10,
CLDT,USD,NYSE,REIT - Hotel & Motel,Real Estate,True,2010-04-16,
SMRT,USD,NYSE,Software - Application,Technology,True,2021-08-25,
GOOS,USD,NYSE,Apparel - Manufacturers,Consumer Cyclical,True,2017-03-16,
ZUMZ,USD,NASDAQ,Apparel - Retail,Consumer Cyclical,True,2005-05-06,
UNIT,USD,NASDAQ,REIT - Specialty,Real Estate,True,2015-04-20,
CHCO,USD,NASDAQ,Banks - Regional,Financial Services,True,1987-06-26,
GNFT,USD,NASDAQ,Biotechnology,Healthcare,True,2019-03-27,
RDVT,USD,NASDAQ,Software - Application,Technology,True,2018-03-27,
PGR,USD,NYSE,Insurance - Property & Casualty,Financial Services,True,1980-03-17,
UAMY,USD,NYSE,Industrial Materials,Basic Materials,True,2000-02-24,
CAI,USD,NASDAQ,Biotechnology,Healthcare,True,2025-06-18,
WTM,USD,NYSE,Insurance - Property & Casualty,Financial Services,True,1985-10-23,
JWEL,USD,NASDAQ,Specialty Retail,Consumer Cyclical,True,2021-03-17,
AOUT,USD,NASDAQ,Leisure,Consumer Cyclical,True,2020-08-21,
TMP,USD,AMEX,Banks - Regional,Financial Services,True,1986-06-02,
PAVS,USD,NASDAQ,Packaged Foods,Consumer Defensive,True,2019-10-25,
ENPH,USD,NASDAQ,Solar,Energy,True,2012-03-30,
MDRRP,USD,NASDAQ,REIT - Diversified,Real Estate,False,2020-02-13,
RANI,USD,NASDAQ,Biotechnology,Healthcare,True,2021-07-30,
BLIN,USD,NASDAQ,Software - Infrastructure,Technology,True,2007-06-29,
TELL,USD,AMEX,Oil & Gas Exploration & Production,Energy,False,1988-08-03,2024-10-08
UEC,USD,AMEX,Uranium,Energy,True,2007-04-05,
PFSA,USD,NASDAQ,Medical - Equipment & Services,Healthcare,True,2025-07-14,
MDVL,USD,NASDAQ,Medical - Pharmaceuticals,Healthcare,False,2010-05-03,
VLYPN,USD,NASDAQ,Banks - Regional,Financial Services,True,1990-03-23,
MS-PK,USD,NYSE,Financial - Capital Markets,Financial Services,True,2017-01-25,
FHN-PB,USD,NYSE,Banks - Regional,Financial Services,False,2020-07-07,
CI,USD,NYSE,Medical - Healthcare Plans,Healthcare,True,1982-03-31,
IVDAW,USD,NASDAQ,Security & Protection Services,Industrials,True,2022-04-01,
CIX,USD,AMEX,Security & Protection Services,Industrials,True,1998-03-06,
RDWR,USD,NASDAQ,Software - Infrastructure,Technology,True,1999-09-30,
ORRF,USD,NASDAQ,Banks - Regional,Financial Services,True,1999-05-13,
MFG,USD,NYSE,Banks - Regional,Financial Services,True,2006-11-08,
MNSO,USD,NYSE,Specialty Retail,Consumer Cyclical,True,2020-10-15,
MKTW,USD,NASDAQ,Software - Application,Technology,True,2020-09-14,
BCAR,USD,NASDAQ,Asset Management,Financial Services,True,2025-08-20,
ARCT,USD,NASDAQ,Biotechnology,Healthcare,True,2013-05-22,
SGE,USD,AMEX,Computer Hardware,Technology,False,2023-05-16,2024-09-27
VREX,USD,NASDAQ,Medical - Devices,Healthcare,True,2017-01-23,
CLPR,USD,NYSE,REIT - Residential,Real Estate,True,2017-02-10,
ATRO,USD,NASDAQ,Aerospace & Defense,Industrials,True,1980-03-17,
BGSF,USD,NYSE,Staffing & Employment Services,Industrials,True,2014-04-29,
FOUR,USD,NYSE,Software - Infrastructure,Technology,True,2020-06-05,
PRDO,USD,NASDAQ,Education & Training Services,Consumer Defensive,True,1998-01-29,
AAM-PB,USD,NYSE,Asset Management - Global,Financial Services,False,2018-03-14,2023-09-21
VAC,USD,NYSE,"Gambling, Resorts & Casinos",Consumer Cyclical,True,2011-11-08,
RBCAA,USD,NASDAQ,Banks - Regional,Financial Services,True,1998-07-22,
FGNXP,USD,NASDAQ,Insurance - Diversified,Financial Services,True,2014-04-01,
CSGS,USD,NASDAQ,Software - Infrastructure,Technology,True,1996-02-28,
RILYT,USD,NASDAQ,Financial - Conglomerates,Financial Services,True,2021-01-26,
NTIC,USD,NASDAQ,Chemicals - Specialty,Basic Materials,True,1992-03-27,
PLCE,USD,NASDAQ,Apparel - Retail,Consumer Cyclical,True,1997-09-19,
UBFO,USD,NASDAQ,Banks - Regional,Financial Services,True,1999-03-03,
MKFG,USD,NYSE,Computer Hardware,Technology,False,2020-10-08,2025-04-25
GGG,USD,NYSE,Industrial - Machinery,Industrials,True,1980-03-17,
EPR-PE,USD,NYSE,REIT - Specialty,Real Estate,True,2008-04-07,
IPA,USD,NASDAQ,Biotechnology,Healthcare,False,2002-01-07,2022-11-25
CVU,USD,AMEX,Aerospace & Defense,Industrials,True,1992-09-17,
STAI,USD,NASDAQ,Construction Materials,Basic Materials,True,2023-03-15,
TBHC,USD,NASDAQ,Specialty Retail,Consumer Cyclical,True,2002-07-30,
BRX,USD,NYSE,REIT - Retail,Real Estate,True,2013-10-30,
CVEO,USD,NYSE,Specialty Business Services,Industrials,True,2014-05-19,
CMBT,USD,NYSE,Marine Shipping,Industrials,True,2000-02-17,
PODD,USD,NASDAQ,Medical - Devices,Healthcare,True,2007-05-15,
CME,USD,NASDAQ,Financial - Data & Stock Exchanges,Financial Services,True,2002-12-06,
CDLR,USD,NYSE,Marine Shipping,Industrials,True,2023-12-26,
EVCM,USD,NASDAQ,Software - Infrastructure,Technology,True,2021-07-01,
CTSO,USD,NASDAQ,Medical - Devices,Healthcare,True,2006-08-08,
BIOX,USD,NASDAQ,Agricultural Inputs,Basic Materials,True,2018-03-22,
FDBC,USD,NASDAQ,Banks - Regional,Financial Services,True,1999-04-13,
NCNA,USD,NASDAQ,Biotechnology,Healthcare,True,2017-09-28,
AREB,USD,NASDAQ,Apparel - Footwear & Accessories,Consumer Cyclical,True,2022-02-07,
GSTCQ,USD,NYSE,Oil & Gas Energy,Energy,False,2006-01-05,2019-01-22
OTF,USD,NYSE,Asset Management,Financial Services,True,2025-06-12,
AZEK,USD,NYSE,Construction,Industrials,False,2020-06-12,2025-07-01
BEP-PA,USD,NYSE,Renewable Utilities,Utilities,True,2020-02-20,
NOVTU,USD,NASDAQ,"Hardware, Equipment & Parts",Technology,True,1999-03-24,
ASTH,USD,NASDAQ,Medical - Care Facilities,Healthcare,True,2009-03-11,
GXAI,USD,NASDAQ,Electronic Gaming & Multimedia,Technology,True,2023-02-15,
FUSEW,USD,NASDAQ,Software - Application,Technology,True,2025-10-23,
RAND,USD,NASDAQ,Asset Management,Financial Services,True,1980-03-17,
BCAB,USD,NASDAQ,Biotechnology,Healthcare,True,2020-12-16,
REXX,USD,NASDAQ,,,False,2007-07-25,
NBP,USD,NASDAQ,Biotechnology,Healthcare,True,2020-01-17,
PNFPP,USD,NASDAQ,Banks - Regional,Financial Services,True,2020-05-28,
GNE-PA,USD,NYSE,Regulated Electric,Utilities,False,2012-10-24,2023-06-15
CYN,USD,NASDAQ,Software - Application,Technology,True,2021-10-20,
EVH,USD,NYSE,Medical - Healthcare Information Services,Healthcare,True,2015-06-05,
CCL,USD,NYSE,Leisure,Consumer Cyclical,True,1987-07-24,
FLXS,USD,NASDAQ,"Furnishings, Fixtures & Appliances",Consumer Cyclical,True,1980-03-17,
IBTA,USD,NYSE,Software - Application,Technology,True,2024-04-19,
AHL,USD,NYSE,Insurance - Property & Casualty,Financial Services,True,2025-05-08,
CDXC,USD,NASDAQ,Biotechnology,Healthcare,False,2008-06-25,2025-04-14
EBMT,USD,NASDAQ,Banks - Regional,Financial Services,True,2000-04-06,
CYNO,USD,NASDAQ,,,False,2016-01-04,2017-03-21
XAGEW,USD,NASDAQ,Biotechnology,Healthcare,False,2025-03-20,
JYNT,USD,NASDAQ,Medical - Care Facilities,Healthcare,True,2014-11-11,
EPC,USD,NYSE,Household & Personal Products,Consumer Defensive,True,2000-03-27,
ECXWW,USD,NASDAQ,Auto - Parts,Consumer Cyclical,True,2022-12-21,
GLPG,USD,NASDAQ,Biotechnology,Healthcare,True,2012-02-27,
IDA,USD,NYSE,Regulated Electric,Utilities,True,1944-08-01,
SONM,USD,NASDAQ,Communication Equipment,Technology,True,2019-05-10,
WKSP,USD,NASDAQ,Auto - Parts,Consumer Cyclical,True,2001-06-21,
ASIX,USD,NYSE,Chemicals,Basic Materials,True,2016-09-15,
MS-PL,USD,NYSE,Financial - Capital Markets,Financial Services,True,2019-11-19,
SLAI,USD,NYSE,Software - Application,Technology,True,2025-10-17,
IBER-WT,USD,NYSE,,,False,,
QNCX,USD,NASDAQ,Biotechnology,Healthcare,True,2019-05-09,
WBA,USD,NASDAQ,Medical - Pharmaceuticals,Healthcare,False,1980-03-17,2025-08-29
KSU-P,USD,NYSE,Railroads,Industrials,False,2022-01-31,
SQLLW,USD,NASDAQ,Medical - Diagnostics & Research,Healthcare,False,2021-08-27,
NXXT,USD,NASDAQ,Renewable Utilities,Utilities,True,2025-01-15,
GRYP,USD,NASDAQ,Financial - Capital Markets,Financial Services,False,2024-02-09,2025-09-02
STL,USD,NYSE,Banks - Regional,Financial Services,False,2011-12-28,2022-02-14
STRZ,USD,NASDAQ,Entertainment,Communication Services,True,2025-05-07,
AHI,USD,NASDAQ,Software - Application,Technology,False,2021-11-19,2024-02-02
AMBQ,USD,NYSE,Semiconductors,Technology,True,2025-07-30,
