symbol,price,marketCap,beta,changePercentage,volume,currency,exchange,industry,sector,country,ipoDate,isActivelyTrading,delistedDate
SNES,2.97,15513026.0,0.215,1.71233,28205,USD,NASDAQ,Chemicals - Specialty,Basic Materials,US,2016-12-08,True,
OSTX,1.92,67611556.0,-4.0413275,5.49451,509594,USD,NYSE,Biotechnology,Healthcare,US,2024-08-01,True,
BGLC,4.11,7383656.0,2.214,-5.08083,21371,USD,NASDAQ,Medical - Diagnostics & Research,Healthcare,MY,2021-01-08,True,
NCPL,0.8413,4136232.0,0.816,-7.55961,219306,USD,NASDAQ,Financial - Capital Markets,Financial Services,US,2006-06-05,True,
CVCO,578.64,4626266726.0,1.287,0.11246,181356,USD,NASDAQ,Residential Construction,Consumer Cyclical,US,2003-07-01,True,
EXC,43.81,44272068013.0,0.55,-0.22774,7619776,USD,NASDAQ,Regulated Electric,Utilities,US,1973-05-02,True,
IROHU,9.5,65550000.0,0.09762339,-3.65112,601,USD,NASDAQ,Shell Companies,Financial Services,US,2023-12-27,False,2025-10-01
AIHS,1.3019,1525865.0,0.904,-2.11278,23458,USD,NASDAQ,Financial - Credit Services,Financial Services,CN,2018-03-19,True,
UIS,2.82,201083219.0,1.47,0.35587,617547,USD,NYSE,Information Technology Services,Technology,US,1972-06-01,True,
KLTR,1.64,251236600.0,1.059,2.5,260462,USD,NASDAQ,Software - Infrastructure,Technology,US,2021-07-21,True,
SKYAW,0.0012,0.0,0.0,0.0,5800,USD,NASDAQ,Asset Management,Financial Services,US,2025-07-03,False,
OPHC,4.1,47289400.0,0.289,1.23457,62728,USD,NASDAQ,Banks - Regional,Financial Services,US,2003-06-23,True,
TCBIO,20.78,948477146.0,0.685,-0.09615385,3891,USD,NASDAQ,Banks - Regional,Financial Services,US,2021-03-26,True,
ACMR,35.1,2232679586.0,1.448,1.38648,601220,USD,NASDAQ,Semiconductors,Technology,US,2017-11-02,True,
EHLDV,15.7,44258598.0,0.0,-1.50565,19018,USD,NASDAQ,Marine Shipping,Industrials,US,2025-03-07,False,
WNW,1.57,4973890.0,0.843,-3.08642,86161,USD,NASDAQ,Specialty Retail,Consumer Cyclical,CN,2020-12-15,True,
CAPS,0.8675,4690165.0,-0.958,0.84864,209009,USD,NASDAQ,Construction Materials,Basic Materials,US,1993-01-28,True,
LKCO,0.81,10744974.0,0.887,100.0,715800,USD,NASDAQ,Internet Content & Information,Communication Services,CN,2019-01-15,False,
RNAZ,8.61,7894345.0,1.529,-0.2976,6465,USD,NASDAQ,Biotechnology,Healthcare,US,2021-07-08,True,
WINVR,0.02,5243859.0,-0.068,-80.0,93,USD,NASDAQ,Shell Companies,Financial Services,US,2021-10-04,False,
RARE,36.38,3503288534.0,0.162,-0.43788,1281816,USD,NASDAQ,Biotechnology,Healthcare,US,2014-01-31,True,
LBBBW,0.0492,295692.0,0.0,53.75,40379,USD,NASDAQ,Shell Companies,Financial Services,US,2022-04-14,False,2024-03-11
