symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
BRK-B,Berkshire Hathaway Inc.,1087383010918,Financial Services,Insurance - Diversified,0.709,504.04,0.0,6032898,New York Stock Exchange,NYSE,US,False,False,True
LLY,Eli Lilly and Company,951913308604,Healthcare,Drug Manufacturers - General,0.389,1059.7,6.0,4140633,New York Stock Exchange,NYSE,US,False,False,True
WMT,Walmart Inc.,839700680169,Consumer Defensive,Discount Stores,0.649,105.32,0.9125,41298838,New York Stock Exchange,NYSE,US,False,False,True
JPM,JPMorgan Chase & Co.,811288609156,Financial Services,Banks - Diversified,1.076,298.02,5.55,11742526,New York Stock Exchange,NYSE,US,False,False,True
V,Visa Inc.,636421848975,Financial Services,Financial - Credit Services,0.82,327.98,2.68,8832314,New York Stock Exchange,NYSE,US,False,False,True
ORCL,Oracle Corporation,557582343687,Technology,Software - Infrastructure,1.636,198.76,1.9,41791544,New York Stock Exchange,NYSE,US,False,False,True
NEE,"NextEra Energy, Inc.",171854432400,Utilities,Regulated Electric,0.738,83.48,2.266,13926837,New York Stock Exchange,NYSE,US,False,False,True
XOM,Exxon Mobil Corporation,493726360000,Energy,Oil & Gas Integrated,0.378,117.08,4.0,11223753,New York Stock Exchange,NYSE,US,False,False,True
JNJ,Johnson & Johnson,491255271298,Healthcare,Drug Manufacturers - General,0.358,203.9,5.08,13172196,New York Stock Exchange,NYSE,US,False,False,True
MA,Mastercard Incorporated,485257165730,Financial Services,Financial - Credit Services,0.868,540.4,3.04,2815069,New York Stock Exchange,NYSE,US,False,False,True
ABBV,AbbVie Inc.,417558084978,Healthcare,Drug Manufacturers - General,0.352,236.28,6.92,7984851,New York Stock Exchange,NYSE,US,False,False,True
BAC,Bank of America Corporation,376517120007,Financial Services,Banks - Diversified,1.304,51.56,1.06,36538130,New York Stock Exchange,NYSE,US,False,False,True
PG,The Procter & Gamble Company,352659827215,Consumer Defensive,Household & Personal Products,0.381,150.92,4.1769,11833939,New York Stock Exchange,NYSE,US,False,False,True
HD,"The Home Depot, Inc.",341736143648,Consumer Cyclical,Home Improvement,1.046,343.32,9.15,7334810,New York Stock Exchange,NYSE,US,False,False,True
KO,The Coca-Cola Company,313951780266,Consumer Defensive,Beverages - Non-Alcoholic,0.398,72.95,2.015,26438595,New York Stock Exchange,NYSE,US,False,False,True
GE,GE Aerospace,303195710578,Industrials,Aerospace & Defense,1.401,287.44,1.36,4430280,New York Stock Exchange,NYSE,US,False,False,True
CVX,Chevron Corporation,299863052478,Energy,Oil & Gas Integrated,0.669,149.98,6.84,6665124,New York Stock Exchange,NYSE,US,False,False,True
UNH,UnitedHealth Group Incorporated,289841183241,Healthcare,Medical - Healthcare Plans,0.429,319.97,8.62,8387305,New York Stock Exchange,NYSE,US,False,False,True
IBM,International Business Machines Corporation,278027639673,Technology,Information Technology Services,0.688,297.44,6.71,4687490,New York Stock Exchange,NYSE,US,False,False,True
WFC,Wells Fargo & Company,270239085819,Financial Services,Banks - Diversified,1.106,83.11,1.8,16026287,New York Stock Exchange,NYSE,US,False,False,True
CAT,Caterpillar Inc.,257864853587,Industrials,Agricultural - Machinery,1.562,550.43,5.84,2864354,New York Stock Exchange,NYSE,US,False,False,True
MS,Morgan Stanley,251381234509,Financial Services,Financial - Capital Markets,1.217,158.17,3.85,7572258,New York Stock Exchange,NYSE,US,False,False,True
AXP,American Express Company,246228811174,Financial Services,Financial - Credit Services,1.147,352.89,3.16,2528611,New York Stock Exchange,NYSE,US,False,False,True
MRK,"Merck & Co., Inc.",245690894796,Healthcare,Drug Manufacturers - General,0.319,97.76,3.24,23150040,New York Stock Exchange,NYSE,US,False,False,True
GS,"The Goldman Sachs Group, Inc.",242828708629,Financial Services,Financial - Capital Markets,1.35,774.03,13.0,1935309,New York Stock Exchange,NYSE,US,False,False,True
PM,Philip Morris International Inc.,241643787507,Consumer Defensive,Tobacco,0.444,155.24,5.52,4896257,New York Stock Exchange,NYSE,US,False,False,True
RTX,RTX Corporation,227152257315,Industrials,Aerospace & Defense,0.431,169.68,2.67,3870876,New York Stock Exchange,NYSE,US,False,False,True
ABT,Abbott Laboratories,222983306478,Healthcare,Medical - Devices,0.719,128.11,2.36,9375239,New York Stock Exchange,NYSE,US,False,False,True
TMO,Thermo Fisher Scientific Inc.,222655716035,Healthcare,Medical - Diagnostics & Research,0.906,587.48,1.68,1933367,New York Stock Exchange,NYSE,US,False,False,True
MCD,McDonald's Corporation,221046048378,Consumer Cyclical,Restaurants,0.525,309.35,7.08,2636934,New York Stock Exchange,NYSE,US,False,False,True
CRM,"Salesforce, Inc.",217459683441,Technology,Software - Application,1.243,227.11,1.648,7382682,New York Stock Exchange,NYSE,US,False,False,True
DIS,The Walt Disney Company,188121179544,Communication Services,Entertainment,1.491,104.28,1.0,10720162,New York Stock Exchange,NYSE,US,False,False,True
T,AT&T Inc.,183829425405,Communication Services,Telecommunications Services,0.598,25.93,1.11,49808581,New York Stock Exchange,NYSE,US,False,False,True
C,Citigroup Inc.,183650107244,Financial Services,Banks - Diversified,1.198,98.7,2.32,12203965,New York Stock Exchange,NYSE,US,False,False,True
UBER,"Uber Technologies, Inc.",174267634054,Technology,Software - Application,1.183,83.87,0.0,29996414,New York Stock Exchange,NYSE,US,False,False,True
